DEBUG 2025-02-11 17:06:52,666 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\thread.py first seen with mtime 1701976814.0
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\tinycss2\bytes.py first seen with mtime 1726114117.9776628
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\platypus\__init__.py first seen with mtime 1726114127.464946
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\usssa\transfers\__init__.py first seen with mtime 1728545856.8099933
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1726123818.6139982
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1726123819.072436
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\usssa\agm\apps.py first seen with mtime 1730712273.2763376
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\usssa\dashboard\signals.py first seen with mtime 1736189910.256712
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\django\utils\version.py first seen with mtime 1726123819.0889885
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\cffi\cparser.py first seen with mtime 1726114148.4627056
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1726123818.9837532
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\graphics\barcode\qrencoder.py first seen with mtime 1726114127.4274428
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1726123818.8090525
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1726123818.9917486
DEBUG 2025-02-11 17:06:52,672 autoreload File E:\django\usssa\venv\Lib\site-packages\charset_normalizer\api.py first seen with mtime 1726114125.262953
DEBUG 2025-02-11 17:06:52,672 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\_compat_pickle.py first seen with mtime 1701976814.0
DEBUG 2025-02-11 17:06:52,672 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko\sign\ades\cades_asn1.py first seen with mtime 1726114151.9893072
DEBUG 2025-02-11 17:06:52,672 autoreload File E:\django\usssa\venv\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1726123818.6190062
DEBUG 2025-02-11 17:06:52,672 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko\pdf_utils\font\__init__.py first seen with mtime 1726114151.973041
DEBUG 2025-02-11 17:06:52,672 autoreload File E:\django\usssa\venv\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1726123819.0318294
DEBUG 2025-02-11 17:06:52,672 autoreload File E:\django\usssa\venv\Lib\site-packages\chardet\euctwfreq.py first seen with mtime 1726114125.613303
DEBUG 2025-02-11 17:06:52,672 autoreload File E:\django\usssa\venv\Lib\site-packages\asgiref\sync.py first seen with mtime 1726114126.7876384
DEBUG 2025-02-11 17:06:52,673 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko_certvalidator\revinfo\archival.py first seen with mtime 1726114151.050866
DEBUG 2025-02-11 17:06:52,673 autoreload File E:\django\usssa\venv\Lib\site-packages\django\contrib\admin\migrations\0003_logentry_add_action_flag_choices.py first seen with mtime 1726123818.054098
DEBUG 2025-02-11 17:06:52,673 autoreload File E:\django\usssa\venv\Lib\site-packages\pypdf\_crypt_providers\__init__.py first seen with mtime 1726114118.9543808
DEBUG 2025-02-11 17:06:52,673 autoreload File E:\django\usssa\venv\Lib\site-packages\xhtml2pdf\tags.py first seen with mtime 1726114154.9560525
DEBUG 2025-02-11 17:06:52,673 autoreload File E:\django\usssa\usssa\base\admin.py first seen with mtime 1726298770.724459
DEBUG 2025-02-11 17:06:52,673 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\asyncio\staggered.py first seen with mtime 1701976814.0
DEBUG 2025-02-11 17:06:52,673 autoreload File E:\django\usssa\usssa\enrollment\__init__.py first seen with mtime 1727680964.0527768
DEBUG 2025-02-11 17:06:52,673 autoreload File E:\django\usssa\venv\Lib\site-packages\django\utils\encoding.py first seen with mtime 1726123819.0805829
DEBUG 2025-02-11 17:06:52,674 autoreload File E:\django\usssa\usssa\enrollment\urls.py first seen with mtime 1728723689.7523763
